MSOA21CD/E02003464	Stantonbury & Bradville
MSOA21CD/E02003469	Bradwell Village
MSOA21CD/E02003471	Bradwell Common
MSOA21CD/E02003482	Bow Brickhill & Woburn Sands
MSOA21CD/E02003485	Bletchley North West
MSOA21CD/E02003488	Bletchley East
MSOA21CD/E02003489	Bletchley West
MSOA21CD/E02003490	Bletchley South
MSOA21CD/E02003499	Bevendean & Moulsecoomb East
MSOA21CD/E02003508	Elm Grove & Bear Road
MSOA21CD/E02003519	Brunswick
MSOA21CD/E02003537	Baffins
MSOA21CD/E02003549	Bassett Green
MSOA21CD/E02003562	Bitterne West
MSOA21CD/E02003564	Bitterne East
MSOA21CD/E02003565	Bevois Town
MSOA21CD/E02003568	Banister Park & Howard Road
MSOA21CD/E02003572	Bitterne South
MSOA21CD/E02003585	Binstead & Wootton
MSOA21CD/E02003590	Bembridge & Nettlestone
MSOA21CD/E02003593	Brighstone & Shalfleet
MSOA21CD/E02003594	Sandown & Brading
MSOA21CD/E02003602	Blunham, Caldecote & Broom
MSOA21CD/E02003603	Biggleswade West
MSOA21CD/E02003604	Biggleswade East
MSOA21CD/E02003620	Brickhill
MSOA21CD/E02003623	Bromham & Biddenham
MSOA21CD/E02003636	Barton-le-Clay & Upper Sundon
MSOA21CD/E02003652	Buckingham South, Maids Moreton & Akeley
MSOA21CD/E02003653	Buckingham North
MSOA21CD/E02003658	Wing, Wingrave & Bierton
MSOA21CD/E02003661	Oakley, Brill & Edgcott
MSOA21CD/E02003663	Berryfields & Haydon Hill
MSOA21CD/E02003668	Bedgrove & Walton
MSOA21CD/E02003676	Hyde Heath, Bellingdon & Latimer
MSOA21CD/E02003688	Beaconsfield Town
MSOA21CD/E02003693	Burham North, Taplow & Dorney
MSOA21CD/E02003694	Burnham South
MSOA21CD/E02003702	Bledlow, Cadmore End & Hambleden Valley
MSOA21CD/E02003705	Bowerdean
MSOA21CD/E02003712	Lane End & Booker
MSOA21CD/E02003716	Bourne End
MSOA21CD/E02003739	Burwell
MSOA21CD/E02003740	Swaffham & Bottisham
MSOA21CD/E02003749	Coates, Benwick & Pondersbridge
MSOA21CD/E02003757	Warboys & Bury
MSOA21CD/E02003759	Bluntisham, Earith & Needingworth
MSOA21CD/E02003762	Brampton, the Stukeleys and the Alconburys
MSOA21CD/E02003769	Buckden & Perry
MSOA21CD/E02003787	Barrington, Orwell & Gamlingay
MSOA21CD/E02003790	Linton & Balsham
MSOA21CD/E02003793	Bassingbourn & the Mordens
MSOA21CD/E02003798	Blacon North
MSOA21CD/E02003799	Blacon South
MSOA21CD/E02003806	Boughton Heath & Huntington
MSOA21CD/E02003815	Buglawton
MSOA21CD/E02003822	Scholar Green, Rode Heath & Brereton
MSOA21CD/E02003840	Audlem, Bunbury & Wrenbury
MSOA21CD/E02003863	South Knutsford & Bexton
MSOA21CD/E02003865	Bollington
